Year,PROVINCE,Month,Count,Rainfall,Unit_x,Average,Average_Max,Average_Min,Max,Min,Unit_y
2021,Sakon Nakhon,1,0,0.0,mm,23.4,30.7,16.1,34.4,11.5,Celsius degrees
2021,Sakon Nakhon,2,1,21.6,mm,25.9,33.5,18.3,37.1,13.9,Celsius degrees
2021,Sakon Nakhon,3,0,84.3,mm,29.4,37.9,21.0,40.8,14.5,Celsius degrees
2021,Sakon Nakhon,4,0,153.8,mm,29.5,35.5,23.4,40.0,20.1,Celsius degrees
2021,Sakon Nakhon,5,19,91.2,mm,31.3,37.4,25.3,41.0,22.8,Celsius degrees
2021,Sakon Nakhon,6,24,276.5,mm,30.0,34.8,25.3,39.6,22.0,Celsius degrees
2021,Sakon Nakhon,7,30,284.2,mm,29.3,33.7,25.0,38.4,23.4,Celsius degrees
2021,Sakon Nakhon,8,13,158.4,mm,29.7,34.5,25.0,37.8,23.2,Celsius degrees
2021,Sakon Nakhon,9,5,182.6,mm,28.3,32.7,24.3,35.4,22.5,Celsius degrees
2021,Sakon Nakhon,10,7,175.8,mm,27.8,32.0,23.7,35.4,21.9,Celsius degrees
2021,Sakon Nakhon,11,1,0.3,mm,27.0,32.1,22.0,34.7,17.2,Celsius degrees
2021,Sakon Nakhon,12,4,0.0,mm,23.2,30.1,16.3,32.4,13.4,Celsius degrees
2022,Sakon Nakhon,1,4,1.6,mm,24.3,31.9,16.7,34.0,12.1,Celsius degrees
2022,Sakon Nakhon,2,5,38.8,mm,25.4,33.1,17.8,35.5,11.6,Celsius degrees
2022,Sakon Nakhon,3,1,62.8,mm,30.1,36.8,23.4,40.0,21.0,Celsius degrees
2022,Sakon Nakhon,4,13,30.8,mm,29.8,35.9,23.7,41.0,20.0,Celsius degrees
2022,Sakon Nakhon,5,7,250.3,mm,29.4,34.3,24.5,37.6,22.5,Celsius degrees
2022,Sakon Nakhon,6,17,196.2,mm,30.1,35.5,24.8,37.5,23.0,Celsius degrees
2022,Sakon Nakhon,7,49,223.7,mm,29.6,34.2,25.0,37.6,23.4,Celsius degrees
2022,Sakon Nakhon,8,20,182.4,mm,28.8,33.2,24.4,36.1,22.5,Celsius degrees
2022,Sakon Nakhon,9,15,257.8,mm,28.1,32.1,24.1,35.9,22.0,Celsius degrees
2022,Sakon Nakhon,10,7,49.9,mm,27.4,31.9,23.0,34.2,18.5,Celsius degrees
2022,Sakon Nakhon,11,4,22.9,mm,26.6,32.3,21.0,34.5,18.0,Celsius degrees
2022,Sakon Nakhon,12,8,0.0,mm,24.7,30.4,19.0,32.9,14.3,Celsius degrees
2023,Sakon Nakhon,1,3,18.7,mm,23.0,30.8,15.2,33.4,12.2,Celsius degrees
2023,Sakon Nakhon,2,3,6.8,mm,25.7,34.0,17.3,36.8,13.0,Celsius degrees
2023,Sakon Nakhon,3,2,1.5,mm,28.4,36.0,20.7,40.3,16.4,Celsius degrees
2023,Sakon Nakhon,4,3,35.8,mm,32.2,40.1,24.3,42.4,22.0,Celsius degrees
2023,Sakon Nakhon,5,12,109.5,mm,31.3,37.3,25.2,41.8,22.2,Celsius degrees
2023,Sakon Nakhon,6,61,390.2,mm,30.8,36.0,25.6,38.6,24.4,Celsius degrees
2023,Sakon Nakhon,7,99,423.0,mm,30.5,35.5,25.5,38.2,24.3,Celsius degrees
2023,Sakon Nakhon,8,110,326.4,mm,29.2,33.6,24.8,33.6,23.5,Celsius degrees
2023,Sakon Nakhon,9,56,573.4,mm,29.5,33.4,24.7,33.4,23.5,Celsius degrees
2023,Sakon Nakhon,10,35,83.2,mm,28.1,32.2,24.0,32.2,22.0,Celsius degrees
2023,Sakon Nakhon,11,4,0.0,mm,27.0,32.2,21.7,32.2,17.8,Celsius degrees
